id,codigo,nome,dt_inicio,dt_fim,cod_cnae
cnae_mei_1322700,1322700,"Tecelagem de fios de fibras têxteis naturais, exceto algodão",2016-07-01,,1322700
cnae_mei_1340501,1340501,"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário",2016-07-01,,1340501
cnae_mei_1340599,1340599,"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário",2016-07-01,,1340599
cnae_mei_1351100,1351100,Fabricação de artefatos têxteis para uso doméstico,2016-07-01,,1351100
cnae_mei_1352900,1352900,Fabricação de artefatos de tapeçaria,2016-07-01,,1352900
cnae_mei_1353700,1353700,Fabricação de artefatos de cordoaria,2016-07-01,,1353700
cnae_mei_1359600,1359600,Fabricação de outros produtos têxteis não especificados anteriormente,2016-07-01,,1359600
cnae_mei_1411801,1411801,Confecção de roupas íntimas,2016-07-01,,1411801
cnae_mei_1411802,1411802,Facção de roupas íntimas,2016-07-01,,1411802
cnae_mei_1412601,1412601,"Confecção de peças de vestuário, exceto roupas íntimas e as confeccionadas sob medida",2016-07-01,,1412601
